binomial,PCA,Segment classification,Colour discriminability
Cinclus leucocephalus,-0.48,-0.79,-0.74
Circus aeruginosus,-0.59,-0.59,-0.44
Cisticola chubbi,-0.18,-0.6,-0.52
Cisticola exilis,0.08,-0.22,0.07
Cisticola juncidis,0.95,-0.19,-0.22
Cistothorus palustris,-0.12,-0.35,-0.34
Cistothorus platensis,-0.43,-0.62,-0.32
Clangula hyemalis,5.36,1.43,0.6
Claravis pretiosa,1.9,2.04,2.32
Climacteris affinis,-0.84,-0.61,-0.61
Climacteris melanura,0.28,-0.17,-0.23
Climacteris picumnus,-0.7,-0.81,-0.7
Climacteris rufa,-0.72,-0.84,-0.73
Coccothraustes vespertinus,0.22,0.65,1.13
Coccyzus americanus,-0.59,-0.67,-0.66
Coccyzus erythropthalmus,-0.55,-0.48,-0.35
Cochlearius cochlearius,0.88,0.53,0.14
Coeligena coeligena,-0.79,0.06,-0.11
Coereba flaveola,-0.5,-0.01,-0.49
Colaptes auratus,-0.41,-0.63,0.09
Colinus virginianus,-,-0.14,-
Colius striatus,-0.73,-0.48,-0.42
Collocalia spodiopygius,-0.46,-0.43,-0.54
Colluricincla harmonica,-0.07,-0.46,-0.49
Colluricincla megarhyncha,-0.59,-0.69,-0.47
Colluricincla woodwardi,-0.78,-0.73,-0.44
Colonia colonia,-0.69,0.08,-0.28
Columba fasciata,-0.12,-0.3,-0.17
Columba flavirostris,-0.59,-0.35,-0.44
Columba leucocephala,0.53,-0.37,-0.6
Columba livia,0.34,-0.04,-0.38
Columba palumbus,-0.49,-0.71,-0.8
Columba speciosa,-0.69,-0.18,0
Columbina passerina,0.06,0.15,0.15
Columbina talpacoti,-0.54,-0.22,-0.07
Conopophila albogularis,-0.3,-0.68,-0.67
Conopophila rufogularis,-0.33,-0.59,-0.36
Contopus borealis,-0.15,-0.6,-0.65
Contopus sordidulus,-0.52,-0.64,-0.62
Contopus virens,0.11,-0.01,-0.29
Copsychus albospecularis,0.86,2.76,0.56
Coracina caeruleogriseae,-0.73,-0.18,-0.76
Coracina longicauda,0.3,0.88,-0.46
Coracina montana,-0.03,-0.07,-0.42
Coracina novaehollandiae,-0.29,-0.31,-0.78
Coracina papuensis,-0.23,-0.34,-0.75
Coracina tenuirostris,0.89,1.1,0.85
Cormobates leucophaea,-0.57,-0.49,-0.38
Corvus brachyrhynchos,-0.78,0.16,-0.66
Corvus corax,-0.93,0.29,-0.61
Corvus corone,-0.94,-0.01,-0.68
Corvus coronoides,-0.77,-0.08,-0.57
Corvus frugilegus,-0.87,0.2,-0.6
Corvus mellori,-0.86,0.22,-0.76
Corvus monedula,-0.91,-0.47,-0.74
Corvus splendens,-0.71,0.08,-0.56
Cossypha archeri,-0.66,-0.73,-0.32
Cossypha caffra,-0.65,-0.45,-0.43
Cossypha roberti,-0.72,-0.75,-0.4
Cotinga amabilis,8.35,3.9,6.39
Coturnix coturnix,0.1,-0.33,-0.23
Coturnix pectoralis,0.32,-0.11,0.38
Cracticus cassius,-0.53,0.67,-0.45
Cracticus mentalis,-0.77,-0.7,-0.79
Cracticus nigrogularis,-0.6,0.84,-0.63
Cracticus quoyi,-0.78,0.82,-0.6
Cracticus torquatus,-0.31,-0.32,-0.57
Crateroscelis murina,-0.69,-0.43,-0.32
Crateroscelis nigrorufa,-0.8,-0.65,-0.61
Crateroscelis robusta,-0.11,-0.37,-0.32
Crax rubra,1.08,1.89,2.03
Crex crex,-0.64,-0.72,-0.43
Crotophaga sulcirostris,-0.97,-0.32,-0.79
Cryptospiza jacksoni,-0.78,0.1,-0.17
Cryptospiza reichenovi,-0.84,-0.39,-0.22
Cryptospiza shelleyi,-0.78,-0.13,-0.36
Cyanerpes cyaneus,4.7,3.72,2.47
Cyanocitta cristata,-0.61,-0.23,-0.56
Cyanocitta stelleri,-0.8,-0.17,-0.53
Cyanocompsa cyanoides,0.75,3.63,3.63
Cyanocorax sanblasianus,-0.66,-0.74,-0.8
Cyanocorax yncas,-0.66,-0.41,-0.46
Cygnus atratus,-0.84,-0.61,-0.6
Cygnus columbianus,1.06,-0.31,-0.48
Cygnus melanocoryphus,0.52,-0.38,-0.69
Cypseloides rutila,-0.74,-0.19,-0.31
Dacelo leachii,0.48,0.56,0.06
Dacelo novaeguineae,-0.16,-0.42,-0.34
Daphoenositta chrysoptera,-0.47,-0.59,-0.54
Dasyornis brachypterus,-0.21,-,
Dasyornis broadbenti,-0.31,-0.51,-0.49
Delichon urbica,-0.21,-0.32,-0.57
Dendragapus canadensis,0.85,0.04,0.45
Dendragapus obscurus,-0.65,-0.75,-0.72
Dendrocincla fuliginosa,-0.71,-0.42,-0.05
Dendrocygna arculata,-0.64,-0.47,-0.41
Dendrocygna bicolor,-0.45,-0.78,-0.7
Dendrocygna eytoni,-0.55,-0.64,-0.57
Dendroica adelaidae,-0.17,-0.42,-0.29
Dendroica caerulescens,0.98,1.44,1.37
Dendroica castanea,-0.13,-0.1,-0.04
Dendroica cerulea,1.61,1.78,0.59
Dendroica coronata,0.16,0.13,0.33
Dendroica discolor,-0.44,-0.7,-0.28
Dendroica fusca,0.36,0.1,0.58
Dendroica graciae,-0.34,-0.27,-0.25
Dendroica magnolia,1.44,0.59,0.27
Dendroica nigrescens,-0.19,0.81,-0.23
Dendroica occidentalis,0.18,-0.11,0.36
Dendroica palmarum,-0.28,-0.54,-0.28
Dendroica pensylvanica,0.02,-0.11,-0.39
Dendroica petechia,0.31,0.24,1.95
Dendroica pinus,0.23,0.35,1.11
Dendroica striata,-0.03,-0.27,-0.22
Dendroica tigrina,1.62,0.82,1.17
Dendroica virens,0.2,-0.23,0.19
Dicaeum hirundinaceum,0.5,3.79,0.46
Dicaeum pectorale,0.06,1.9,1
Dicrurus bracteatus,-0.66,0.07,-0.03
Dicrurus hottentottus,-0.68,0.65,-0.08
Dolichonyx oryzivorus,2.43,1.49,1.83
Drymodes brunneopygia,-0.54,-0.74,-0.65
Drymodes superciliaris,-,-0.3,-
Ducula spilorrhoa,1.12,-0.1,-0.78
Dumetella carolinensis,-0.61,-0.62,-0.71
Eclectus roratus,0.54,4.89,4.12
Egretta caerulea,-0.64,0.14,-0.81
Egretta ibis,0.35,-0.5,-0.54
Egretta thula,1.24,-0.31,-0.8
Egretta tricolor,-0.28,0.29,-0.49
Elaenia flavogaster,0.17,-0.44,-0.59
Electron platyrhynchus,-0.65,-0.18,-0.09
Emberiza cirlus,0.23,-0.24,0.04
Emberiza citrinella,0.1,-0.32,0.08
Emberiza melanocephala,0.24,0.8,1.36
Emberiza schoeniculus,0.46,0.48,1.16
Emberizoides herbicola,-0.07,-0.51,-0.45
Empidonax affinis,-0.35,-0.65,-0.48
Empidonax alnorum,-0.03,-0.57,-0.5
Empidonax atriceps,-0.77,-0.54,-0.4
Empidonax difficilis,-0.91,-0.72,-0.6
Empidonax flaviventris,-0.64,-0.63,-0.53
Empidonax hammondii,-0.26,-0.61,-0.55
Empidonax minimus,-0.56,-0.44,-0.31
Empidonax oberholseri,0.31,-0.14,-0.27
Empidonax traillii,-0.67,-0.56,-0.46
Empidonax virescens,-0.35,-0.74,-0.65
Empidonax wrightii,0.04,-0.41,-0.42
Entomyzon cyanotis,-0.61,-0.68,-0.51
Eopsaltria australis,-0.74,-0.61,-0.56
Eopsaltria georgiana,-0.45,-0.59,-0.76
Eopsaltria griseogularis,-0.75,-0.75,-0.5
Epimachus albertsii,0.81,0.81,-
Epthianura albifrons,0.61,-0.03,-0.29
Epthianura aurifrons,0.88,0.47,1.64
Epthianura crocea,-0.02,0.23,1.56
Epthianura tricolor,0.62,0.84,1.3
Eremalauda starki,0.35,-0.45,-0.5
Eremophila alpestris,-0.5,-0.36,-0.33
Eremopterix verticalis,0.23,-0.36,-0.44
Erythrogonys cinctus,-0.44,-0.61,-0.55
Erythrura gouldiae,0.12,0.99,0.47
Eudynamys scolopacea,2.94,1.2,2.33
Eudyptula minor,0.95,1.71,-0.4
Eugerygone rubra,-,0.27,-
Eulacestoma nigropectus,1.17,0.41,0.67
Euphagus carolinus,-0.31,0.24,0.08
Euphagus cyanocephalus,-0.55,0.8,1.06
Euplectes orix,2.68,2.54,2.9
Eurypyga helias,-0.25,-0.45,-0.47
Falco berigora,-0.2,-0.5,-0.21
Falco columbaris,0.05,0.02,-0.11
Falco mexicanus,0,-0.61,-0.69
Falco peregrinus,-0.54,-0.07,-0.49
Falco sparverius,-0.3,-0.13,-0.29
Falco tinnunculus,-0.15,0.27,0.07
Falcunculus frontatus,-0.37,-0.27,0.16
Ficedula albicollis,1.07,0.62,0.39
Ficedula hypoleuca,0.17,0.38,0.12
Formicarius analis,-0.86,-0.62,-0.7
Formicarius nigricapillus,-0.94,-0.46,-0.46
Foudia madagascariensis,1.08,2.68,3.2
Fratercula arctica,-0.73,-0.81,-0.76
Fratercula corniculata,-0.5,-0.68,-0.58
Fregata magnificus,1.96,0.84,-0.04
Fringilla coelebs,0.72,0.48,0.65
Fulmaris glacialis,-0.19,-0.66,-0.67
Galbula albirostris,0.29,0.51,0.97
Galerida cristata,-0.37,-0.68,-0.54
Gallinula chloropus,-0.8,-0.17,-0.43
Gallinula tenebrosa,-0.97,-0.65,-0.65
Gallus gallus,0.38,1.6,1.26
Gavia adamsii,-0.68,-0.53,-0.64
Gavia arctica,-0.49,-0.5,-0.68
Gavia immer,-0.64,-0.49,-0.78
Gavia stellata,-0.65,-0.77,-0.65
Geococcyx californicus,0.67,0.43,-0.21
Geopelia humeralis,-0.43,0.09,-0.47
Geopelia striata,0.03,-0.47,-0.39
Geophaps lophotes,-0.53,-0.31,-0.81
Geothlypis trichas,-0.27,-0.13,0.78
Gerygone chloronota,-0.63,-0.74,-0.63
Gerygone chrysogaster,0.28,-0.39,-0.18
Gerygone cinerea,-0.82,-0.85,-0.77
Gerygone fusca,-0.47,-0.69,-0.57
Gerygone laevigaster,-0.31,-0.55,-0.57
Gerygone magnirostris,-0.64,-0.64,-0.64
Gerygone mouki,-0.46,-0.68,-0.59
Gerygone olivacea,-0.43,-0.7,-0.56
Glycichaera fallax,-0.56,-0.7,-0.49
Grallaria quitensis,-0.8,-0.6,-0.48
Grallina bruijni,1,0.27,-0.26
Grallina cyanoleuca,1.62,0.62,-0.51
Grus canadensis,-0.6,-0.57,-0.67
Grus grus,-0.5,-0.67,-0.71
Guira guira,-0.53,-0.61,-0.67
Gymnopithys leucaspis,-0.78,-0.31,0.21
Gymnorhina tibicen,1.57,2.5,-0.47
Gymnorhinus cyanocephalus,-0.26,1.35,-0.45
Gypaetus barbatus,-,-0.51,-
Haematopus bachmani,-0.91,-0.79,-0.77
